station,component,config,step_year,step_index,code,magnitude,distance_km,threshold_km,dist_ratio,mag_bin,dist_bin,ratio_bin,reachable,detected,delay_days
AACR,north,detection,2017.867214236824,1979,2,6.5,62.098,288.403,0.2153,6-7,20-100,<0.25,True,True,21.98
AACR,north,detection,2018.0260095824779,2032,2,7.5,841.294,912.011,0.9225,>=7,>=100,0.5-1,False,False,
AACR,north,detection,2018.6255989048598,2233,2,6.1,166.866,181.97,0.917,6-7,>=100,0.5-1,True,False,
AACR,north,tracking,2015.0143737166325,1195,1,,,,,none,none,none,False,False,
AACR,north,tracking,2011.3620807665982,130,2,5.9,21.432,144.544,0.1483,5-6,20-100,<0.25,False,False,
AACR,north,tracking,2012.1177275838468,402,2,5.9,84.047,144.544,0.5815,5-6,20-100,0.5-1,False,False,
AACR,north,tracking,2012.6543463381245,535,2,7.3,545.92,724.436,0.7536,>=7,>=100,0.5-1,False,False,
AACR,north,tracking,2012.6789869952088,543,2,7.6,132.086,1023.293,0.1291,>=7,>=100,<0.25,False,False,
AACR,north,tracking,2012.8131416837782,593,2,6.5,130.252,288.403,0.4516,6-7,>=100,0.25-0.5,False,False,
AACR,north,tracking,2014.2751540041068,967,2,6.6,269.85,323.594,0.8339,6-7,>=100,0.5-1,False,False,
AACR,north,tracking,2014.7843942505133,1124,2,7.3,522.964,724.436,0.7219,>=7,>=100,0.5-1,False,False,
AACR,north,tracking,2014.9349760438056,1177,2,6.6,272.24,323.594,0.8413,6-7,>=100,0.5-1,False,False,
AACR,north,tracking,2016.290212183436,1432,2,7.8,1159.623,1288.25,0.9002,>=7,>=100,0.5-1,False,False,
AACR,north,tracking,2017.6865160848733,1920,2,8.2,1202.595,2041.738,0.589,>=7,>=100,0.5-1,False,False,
AACR,north,tracking,2017.867214236824,1979,2,6.5,62.098,288.403,0.2153,6-7,20-100,<0.25,False,False,
AACR,north,tracking,2018.0260095824779,2032,2,7.5,841.294,912.011,0.9225,>=7,>=100,0.5-1,False,False,
AACR,north,tracking,2018.6255989048598,2233,2,6.1,166.866,181.97,0.917,6-7,>=100,0.5-1,False,False,
AACR,up,detection,2015.0143737166325,1195,1,,,,,none,none,none,True,False,
AACR,up,detection,2011.3620807665982,130,2,5.9,21.432,144.544,0.1483,5-6,20-100,<0.25,False,False,
AACR,up,detection,2012.1177275838468,402,2,5.9,84.047,144.544,0.5815,5-6,20-100,0.5-1,True,False,
AACR,up,detection,2012.6543463381245,535,2,7.3,545.92,724.436,0.7536,>=7,>=100,0.5-1,True,False,
AACR,up,detection,2012.6789869952088,543,2,7.6,132.086,1023.293,0.1291,>=7,>=100,<0.25,True,False,
AACR,up,detection,2012.8131416837782,593,2,6.5,130.252,288.403,0.4516,6-7,>=100,0.25-0.5,True,False,
AACR,up,detection,2014.2751540041068,967,2,6.6,269.85,323.594,0.8339,6-7,>=100,0.5-1,True,False,
AACR,up,detection,2014.7843942505133,1124,2,7.3,522.964,724.436,0.7219,>=7,>=100,0.5-1,True,False,
AACR,up,detection,2014.9349760438056,1177,2,6.6,272.24,323.594,0.8413,6-7,>=100,0.5-1,True,False,
AACR,up,detection,2016.290212183436,1432,2,7.8,1159.623,1288.25,0.9002,>=7,>=100,0.5-1,True,False,
AACR,up,detection,2017.6865160848733,1920,2,8.2,1202.595,2041.738,0.589,>=7,>=100,0.5-1,True,False,
AACR,up,detection,2017.867214236824,1979,2,6.5,62.098,288.403,0.2153,6-7,20-100,<0.25,True,False,
AACR,up,detection,2018.0260095824779,2032,2,7.5,841.294,912.011,0.9225,>=7,>=100,0.5-1,True,False,
AACR,up,detection,2018.6255989048598,2233,2,6.1,166.866,181.97,0.917,6-7,>=100,0.5-1,True,False,
AACR,up,tracking,2015.0143737166325,1195,1,,,,,none,none,none,False,False,
AACR,up,tracking,2011.3620807665982,130,2,5.9,21.432,144.544,0.1483,5-6,20-100,<0.25,False,False,
AACR,up,tracking,2012.1177275838468,402,2,5.9,84.047,144.544,0.5815,5-6,20-100,0.5-1,False,False,
AACR,up,tracking,2012.6543463381245,535,2,7.3,545.92,724.436,0.7536,>=7,>=100,0.5-1,False,False,
AACR,up,tracking,2012.6789869952088,543,2,7.6,132.086,1023.293,0.1291,>=7,>=100,<0.25,False,False,
AACR,up,tracking,2012.8131416837782,593,2,6.5,130.252,288.403,0.4516,6-7,>=100,0.25-0.5,False,False,
AACR,up,tracking,2014.2751540041068,967,2,6.6,269.85,323.594,0.8339,6-7,>=100,0.5-1,False,False,
AACR,up,tracking,2014.7843942505133,1124,2,7.3,522.964,724.436,0.7219,>=7,>=100,0.5-1,False,False,
AACR,up,tracking,2014.9349760438056,1177,2,6.6,272.24,323.594,0.8413,6-7,>=100,0.5-1,False,False,
AACR,up,tracking,2016.290212183436,1432,2,7.8,1159.623,1288.25,0.9002,>=7,>=100,0.5-1,False,False,
AACR,up,tracking,2017.6865160848733,1920,2,8.2,1202.595,2041.738,0.589,>=7,>=100,0.5-1,False,False,
AACR,up,tracking,2017.867214236824,1979,2,6.5,62.098,288.403,0.2153,6-7,20-100,<0.25,False,False,
AACR,up,tracking,2018.0260095824779,2032,2,7.5,841.294,912.011,0.9225,>=7,>=100,0.5-1,False,False,
AACR,up,tracking,2018.6255989048598,2233,2,6.1,166.866,181.97,0.917,6-7,>=100,0.5-1,False,False,
AB01,east,detection,2017.2840520191648,3216,1,,,,,none,none,none,True,False,
AB01,east,detection,2007.5290896646134,56,2,6.0,147.873,162.181,0.9118,6-7,>=100,0.5-1,False,False,
AB01,east,detection,2007.9644079397672,204,2,7.2,376.796,645.654,0.5836,>=7,>=100,0.5-1,True,False,
AB01,east,detection,2008.1724845995893,204,2,5.5,33.114,91.201,0.3631,5-6,20-100,0.25-0.5,True,False,
AB01,east,detection,2008.3340177960301,238,2,6.6,230.519,323.594,0.7124,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2008.599589322382,334,2,5.8,98.587,128.825,0.7653,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2008.8377823408625,421,2,6.1,73.944,181.97,0.4064,6-7,20-100,0.25-0.5,True,False,
AB01,east,detection,2009.4592744695415,648,2,5.6,97.407,102.329,0.9519,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2010.1848049281314,914,2,5.8,92.522,128.825,0.7182,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2010.5434633812458,1044,2,6.7,303.752,363.078,0.8366,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2010.6721423682409,1092,2,6.5,142.149,288.403,0.4929,6-7,>=100,0.25-0.5,True,False,
AB01,east,detection,2010.7679671457906,1126,2,6.4,122.287,257.04,0.4758,6-7,>=100,0.25-0.5,True,False,
AB01,east,detection,2010.7679671457906,1126,2,6.0,122.593,162.181,0.7559,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2011.1895961670089,1135,2,9.1,3665.082,5754.399,0.6369,>=7,>=100,0.5-1,True,False,
AB01,east,detection,2011.3921971252566,1135,2,5.5,77.392,91.201,0.8486,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2011.4770704996577,1135,2,7.3,162.653,724.436,0.2245,>=7,>=100,<0.25,True,False,
AB01,east,detection,2011.668720054757,1170,2,6.9,170.242,457.088,0.3724,6-7,>=100,0.25-0.5,True,False,
AB01,east,detection,2013.3935660506502,1799,2,8.3,2152.495,2290.868,0.9396,>=7,>=100,0.5-1,True,False,
AB01,east,detection,2013.6618754277893,1897,2,7.0,102.677,512.861,0.2002,>=7,>=100,<0.25,True,False,
AB01,east,detection,2013.6646132785763,1899,2,6.0,119.317,162.181,0.7357,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2013.6755646817248,1902,2,6.5,82.153,288.403,0.2849,6-7,20-100,0.25-0.5,True,False,
AB01,east,detection,2013.6755646817248,1902,2,5.8,91.598,128.825,0.711,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2013.6755646817248,1902,2,5.7,81.307,114.815,0.7082,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2013.6755646817248,1902,2,6.0,83.62,162.181,0.5156,6-7,20-100,0.5-1,True,False,
AB01,east,detection,2013.678302532512,1904,2,5.6,86.98,102.329,0.85,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2013.7029431895962,1913,2,5.9,90.679,144.544,0.6273,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2013.7056810403833,1913,2,6.1,78.784,181.97,0.433,6-7,20-100,0.25-0.5,True,False,
AB01,east,detection,2014.4750171115675,2194,2,7.9,484.476,1445.44,0.3352,>=7,>=100,0.25-0.5,True,False,
AB01,east,detection,2015.567419575633,2593,2,6.9,324.126,457.088,0.7091,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2015.6194387405887,2612,2,5.7,88.357,114.815,0.7696,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2015.8357289527721,2691,2,5.8,91.907,128.825,0.7134,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2015.8521560574948,2696,2,5.7,112.785,114.815,0.9823,5-6,>=100,0.5-1,True,False,
AB01,east,detection,2015.854893908282,2697,2,6.5,100.122,288.403,0.3472,6-7,>=100,0.25-0.5,True,False,
AB01,east,detection,2016.1943874058863,2821,2,5.6,85.981,102.329,0.8402,5-6,20-100,0.5-1,True,False,
AB01,east,detection,2016.1943874058863,2821,2,6.3,73.916,229.087,0.3227,6-7,20-100,0.25-0.5,True,False,
AB01,east,detection,2016.2135523613963,2828,2,6.0,77.4,162.181,0.4772,6-7,20-100,0.25-0.5,True,False,
AB01,east,detection,2018.6201232032854,3704,2,6.5,276.803,288.403,0.9598,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2019.895961670089,4169,2,6.3,128.709,229.087,0.5618,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2020.5557837097879,4410,2,7.8,1074.404,1288.25,0.834,>=7,>=100,0.5-1,True,False,
AB01,east,detection,2020.7994524298426,4438,2,7.6,1000.302,1023.293,0.9775,>=7,>=100,0.5-1,True,False,
AB01,east,detection,2021.574264202601,4479,2,8.2,1124.75,2041.738,0.5509,>=7,>=100,0.5-1,False,False,
AB01,east,detection,2023.7891854893908,4972,2,6.4,188.592,257.04,0.7337,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2023.9698836413415,4972,2,6.1,135.586,181.97,0.7451,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2024.8405201916496,5179,2,5.8,126.604,128.825,0.9828,5-6,>=100,0.5-1,True,False,
AB01,east,detection,2025.2183436002738,5317,2,6.2,173.972,204.174,0.8521,6-7,>=100,0.5-1,True,False,
AB01,east,detection,2025.574264202601,5435,2,8.8,1726.917,4073.803,0.4239,>=7,>=100,0.25-0.5,True,False,
AB01,east,detection,2026.5653661875428,5681,2,5.8,104.766,128.825,0.8132,5-6,>=100,0.5-1,True,False,
AB01,east,tracking,2017.2840520191648,3216,1,,,,,none,none,none,False,False,
AB01,east,tracking,2007.5290896646134,56,2,6.0,147.873,162.181,0.9118,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2007.9644079397672,204,2,7.2,376.796,645.654,0.5836,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2008.1724845995893,204,2,5.5,33.114,91.201,0.3631,5-6,20-100,0.25-0.5,False,False,
AB01,east,tracking,2008.3340177960301,238,2,6.6,230.519,323.594,0.7124,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2008.599589322382,334,2,5.8,98.587,128.825,0.7653,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2008.8377823408625,421,2,6.1,73.944,181.97,0.4064,6-7,20-100,0.25-0.5,False,False,
AB01,east,tracking,2009.4592744695415,648,2,5.6,97.407,102.329,0.9519,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2010.1848049281314,914,2,5.8,92.522,128.825,0.7182,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2010.5434633812458,1044,2,6.7,303.752,363.078,0.8366,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2010.6721423682409,1092,2,6.5,142.149,288.403,0.4929,6-7,>=100,0.25-0.5,False,False,
AB01,east,tracking,2010.7679671457906,1126,2,6.4,122.287,257.04,0.4758,6-7,>=100,0.25-0.5,False,False,
AB01,east,tracking,2010.7679671457906,1126,2,6.0,122.593,162.181,0.7559,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2011.1895961670089,1135,2,9.1,3665.082,5754.399,0.6369,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2011.3921971252566,1135,2,5.5,77.392,91.201,0.8486,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2011.4770704996577,1135,2,7.3,162.653,724.436,0.2245,>=7,>=100,<0.25,False,False,
AB01,east,tracking,2011.668720054757,1170,2,6.9,170.242,457.088,0.3724,6-7,>=100,0.25-0.5,False,False,
AB01,east,tracking,2013.3935660506502,1799,2,8.3,2152.495,2290.868,0.9396,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2013.6618754277893,1897,2,7.0,102.677,512.861,0.2002,>=7,>=100,<0.25,False,False,
AB01,east,tracking,2013.6646132785763,1899,2,6.0,119.317,162.181,0.7357,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2013.6755646817248,1902,2,6.5,82.153,288.403,0.2849,6-7,20-100,0.25-0.5,False,False,
AB01,east,tracking,2013.6755646817248,1902,2,5.8,91.598,128.825,0.711,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2013.6755646817248,1902,2,5.7,81.307,114.815,0.7082,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2013.6755646817248,1902,2,6.0,83.62,162.181,0.5156,6-7,20-100,0.5-1,False,False,
AB01,east,tracking,2013.678302532512,1904,2,5.6,86.98,102.329,0.85,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2013.7029431895962,1913,2,5.9,90.679,144.544,0.6273,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2013.7056810403833,1913,2,6.1,78.784,181.97,0.433,6-7,20-100,0.25-0.5,False,False,
AB01,east,tracking,2014.4750171115675,2194,2,7.9,484.476,1445.44,0.3352,>=7,>=100,0.25-0.5,False,False,
AB01,east,tracking,2015.567419575633,2593,2,6.9,324.126,457.088,0.7091,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2015.6194387405887,2612,2,5.7,88.357,114.815,0.7696,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2015.8357289527721,2691,2,5.8,91.907,128.825,0.7134,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2015.8521560574948,2696,2,5.7,112.785,114.815,0.9823,5-6,>=100,0.5-1,False,False,
AB01,east,tracking,2015.854893908282,2697,2,6.5,100.122,288.403,0.3472,6-7,>=100,0.25-0.5,False,False,
AB01,east,tracking,2016.1943874058863,2821,2,5.6,85.981,102.329,0.8402,5-6,20-100,0.5-1,False,False,
AB01,east,tracking,2016.1943874058863,2821,2,6.3,73.916,229.087,0.3227,6-7,20-100,0.25-0.5,False,False,
AB01,east,tracking,2016.2135523613963,2828,2,6.0,77.4,162.181,0.4772,6-7,20-100,0.25-0.5,False,False,
AB01,east,tracking,2018.6201232032854,3704,2,6.5,276.803,288.403,0.9598,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2019.895961670089,4169,2,6.3,128.709,229.087,0.5618,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2020.5557837097879,4410,2,7.8,1074.404,1288.25,0.834,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2020.7994524298426,4438,2,7.6,1000.302,1023.293,0.9775,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2021.574264202601,4479,2,8.2,1124.75,2041.738,0.5509,>=7,>=100,0.5-1,False,False,
AB01,east,tracking,2023.7891854893908,4972,2,6.4,188.592,257.04,0.7337,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2023.9698836413415,4972,2,6.1,135.586,181.97,0.7451,6-7,>=100,0.5-1,False,False,
AB01,east,tracking,2024.8405201916496,5179,2,5.8,126.604,128.825,0.9828,5-6,>=100,0.5-1,True,False,
AB01,east,tracking,2025.2183436002738,5317,2,6.2,173.972,204.174,0.8521,6-7,>=100,0.5-1,True,False,
AB01,east,tracking,2025.574264202601,5435,2,8.8,1726.917,4073.803,0.4239,>=7,>=100,0.25-0.5,True,False,
AB01,east,tracking,2026.5653661875428,5681,2,5.8,104.766,128.825,0.8132,5-6,>=100,0.5-1,True,False,
AB01,north,detection,2017.2840520191648,3216,1,,,,,none,none,none,True,False,
AB01,north,detection,2007.5290896646134,56,2,6.0,147.873,162.181,0.9118,6-7,>=100,0.5-1,False,False,
AB01,north,detection,2007.9644079397672,204,2,7.2,376.796,645.654,0.5836,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2008.1724845995893,204,2,5.5,33.114,91.201,0.3631,5-6,20-100,0.25-0.5,True,False,
AB01,north,detection,2008.3340177960301,238,2,6.6,230.519,323.594,0.7124,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2008.599589322382,334,2,5.8,98.587,128.825,0.7653,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2008.8377823408625,421,2,6.1,73.944,181.97,0.4064,6-7,20-100,0.25-0.5,True,False,
AB01,north,detection,2009.4592744695415,648,2,5.6,97.407,102.329,0.9519,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2010.1848049281314,914,2,5.8,92.522,128.825,0.7182,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2010.5434633812458,1044,2,6.7,303.752,363.078,0.8366,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2010.6721423682409,1092,2,6.5,142.149,288.403,0.4929,6-7,>=100,0.25-0.5,True,False,
AB01,north,detection,2010.7679671457906,1126,2,6.4,122.287,257.04,0.4758,6-7,>=100,0.25-0.5,True,False,
AB01,north,detection,2010.7679671457906,1126,2,6.0,122.593,162.181,0.7559,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2011.1895961670089,1135,2,9.1,3665.082,5754.399,0.6369,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2011.3921971252566,1135,2,5.5,77.392,91.201,0.8486,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2011.4770704996577,1135,2,7.3,162.653,724.436,0.2245,>=7,>=100,<0.25,True,False,
AB01,north,detection,2011.668720054757,1170,2,6.9,170.242,457.088,0.3724,6-7,>=100,0.25-0.5,True,False,
AB01,north,detection,2013.3935660506502,1799,2,8.3,2152.495,2290.868,0.9396,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2013.6618754277893,1897,2,7.0,102.677,512.861,0.2002,>=7,>=100,<0.25,True,False,
AB01,north,detection,2013.6646132785763,1899,2,6.0,119.317,162.181,0.7357,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2013.6755646817248,1902,2,6.5,82.153,288.403,0.2849,6-7,20-100,0.25-0.5,True,False,
AB01,north,detection,2013.6755646817248,1902,2,5.8,91.598,128.825,0.711,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2013.6755646817248,1902,2,5.7,81.307,114.815,0.7082,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2013.6755646817248,1902,2,6.0,83.62,162.181,0.5156,6-7,20-100,0.5-1,True,False,
AB01,north,detection,2013.678302532512,1904,2,5.6,86.98,102.329,0.85,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2013.7029431895962,1913,2,5.9,90.679,144.544,0.6273,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2013.7056810403833,1913,2,6.1,78.784,181.97,0.433,6-7,20-100,0.25-0.5,True,False,
AB01,north,detection,2014.4750171115675,2194,2,7.9,484.476,1445.44,0.3352,>=7,>=100,0.25-0.5,True,False,
AB01,north,detection,2015.567419575633,2593,2,6.9,324.126,457.088,0.7091,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2015.6194387405887,2612,2,5.7,88.357,114.815,0.7696,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2015.8357289527721,2691,2,5.8,91.907,128.825,0.7134,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2015.8521560574948,2696,2,5.7,112.785,114.815,0.9823,5-6,>=100,0.5-1,True,False,
AB01,north,detection,2015.854893908282,2697,2,6.5,100.122,288.403,0.3472,6-7,>=100,0.25-0.5,True,False,
AB01,north,detection,2016.1943874058863,2821,2,5.6,85.981,102.329,0.8402,5-6,20-100,0.5-1,True,False,
AB01,north,detection,2016.1943874058863,2821,2,6.3,73.916,229.087,0.3227,6-7,20-100,0.25-0.5,True,False,
AB01,north,detection,2016.2135523613963,2828,2,6.0,77.4,162.181,0.4772,6-7,20-100,0.25-0.5,True,False,
AB01,north,detection,2018.6201232032854,3704,2,6.5,276.803,288.403,0.9598,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2019.895961670089,4169,2,6.3,128.709,229.087,0.5618,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2020.5557837097879,4410,2,7.8,1074.404,1288.25,0.834,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2020.7994524298426,4438,2,7.6,1000.302,1023.293,0.9775,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2021.574264202601,4479,2,8.2,1124.75,2041.738,0.5509,>=7,>=100,0.5-1,True,False,
AB01,north,detection,2023.7891854893908,4972,2,6.4,188.592,257.04,0.7337,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2023.9698836413415,4972,2,6.1,135.586,181.97,0.7451,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2024.8405201916496,5179,2,5.8,126.604,128.825,0.9828,5-6,>=100,0.5-1,True,False,
AB01,north,detection,2025.2183436002738,5317,2,6.2,173.972,204.174,0.8521,6-7,>=100,0.5-1,True,False,
AB01,north,detection,2025.574264202601,5435,2,8.8,1726.917,4073.803,0.4239,>=7,>=100,0.25-0.5,True,False,
AB01,north,detection,2026.5653661875428,5681,2,5.8,104.766,128.825,0.8132,5-6,>=100,0.5-1,True,False,
AB01,north,tracking,2017.2840520191648,3216,1,,,,,none,none,none,False,False,
AB01,north,tracking,2007.5290896646134,56,2,6.0,147.873,162.181,0.9118,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2007.9644079397672,204,2,7.2,376.796,645.654,0.5836,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2008.1724845995893,204,2,5.5,33.114,91.201,0.3631,5-6,20-100,0.25-0.5,False,False,
AB01,north,tracking,2008.3340177960301,238,2,6.6,230.519,323.594,0.7124,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2008.599589322382,334,2,5.8,98.587,128.825,0.7653,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2008.8377823408625,421,2,6.1,73.944,181.97,0.4064,6-7,20-100,0.25-0.5,False,False,
AB01,north,tracking,2009.4592744695415,648,2,5.6,97.407,102.329,0.9519,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2010.1848049281314,914,2,5.8,92.522,128.825,0.7182,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2010.5434633812458,1044,2,6.7,303.752,363.078,0.8366,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2010.6721423682409,1092,2,6.5,142.149,288.403,0.4929,6-7,>=100,0.25-0.5,False,False,
AB01,north,tracking,2010.7679671457906,1126,2,6.4,122.287,257.04,0.4758,6-7,>=100,0.25-0.5,False,False,
AB01,north,tracking,2010.7679671457906,1126,2,6.0,122.593,162.181,0.7559,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2011.1895961670089,1135,2,9.1,3665.082,5754.399,0.6369,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2011.3921971252566,1135,2,5.5,77.392,91.201,0.8486,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2011.4770704996577,1135,2,7.3,162.653,724.436,0.2245,>=7,>=100,<0.25,False,False,
AB01,north,tracking,2011.668720054757,1170,2,6.9,170.242,457.088,0.3724,6-7,>=100,0.25-0.5,False,False,
AB01,north,tracking,2013.3935660506502,1799,2,8.3,2152.495,2290.868,0.9396,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2013.6618754277893,1897,2,7.0,102.677,512.861,0.2002,>=7,>=100,<0.25,False,False,
AB01,north,tracking,2013.6646132785763,1899,2,6.0,119.317,162.181,0.7357,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2013.6755646817248,1902,2,6.5,82.153,288.403,0.2849,6-7,20-100,0.25-0.5,False,False,
AB01,north,tracking,2013.6755646817248,1902,2,5.8,91.598,128.825,0.711,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2013.6755646817248,1902,2,5.7,81.307,114.815,0.7082,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2013.6755646817248,1902,2,6.0,83.62,162.181,0.5156,6-7,20-100,0.5-1,False,False,
AB01,north,tracking,2013.678302532512,1904,2,5.6,86.98,102.329,0.85,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2013.7029431895962,1913,2,5.9,90.679,144.544,0.6273,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2013.7056810403833,1913,2,6.1,78.784,181.97,0.433,6-7,20-100,0.25-0.5,False,False,
AB01,north,tracking,2014.4750171115675,2194,2,7.9,484.476,1445.44,0.3352,>=7,>=100,0.25-0.5,False,False,
AB01,north,tracking,2015.567419575633,2593,2,6.9,324.126,457.088,0.7091,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2015.6194387405887,2612,2,5.7,88.357,114.815,0.7696,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2015.8357289527721,2691,2,5.8,91.907,128.825,0.7134,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2015.8521560574948,2696,2,5.7,112.785,114.815,0.9823,5-6,>=100,0.5-1,False,False,
AB01,north,tracking,2015.854893908282,2697,2,6.5,100.122,288.403,0.3472,6-7,>=100,0.25-0.5,False,False,
AB01,north,tracking,2016.1943874058863,2821,2,5.6,85.981,102.329,0.8402,5-6,20-100,0.5-1,False,False,
AB01,north,tracking,2016.1943874058863,2821,2,6.3,73.916,229.087,0.3227,6-7,20-100,0.25-0.5,False,False,
AB01,north,tracking,2016.2135523613963,2828,2,6.0,77.4,162.181,0.4772,6-7,20-100,0.25-0.5,False,False,
AB01,north,tracking,2018.6201232032854,3704,2,6.5,276.803,288.403,0.9598,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2019.895961670089,4169,2,6.3,128.709,229.087,0.5618,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2020.5557837097879,4410,2,7.8,1074.404,1288.25,0.834,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2020.7994524298426,4438,2,7.6,1000.302,1023.293,0.9775,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2021.574264202601,4479,2,8.2,1124.75,2041.738,0.5509,>=7,>=100,0.5-1,False,False,
AB01,north,tracking,2023.7891854893908,4972,2,6.4,188.592,257.04,0.7337,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2023.9698836413415,4972,2,6.1,135.586,181.97,0.7451,6-7,>=100,0.5-1,False,False,
AB01,north,tracking,2024.8405201916496,5179,2,5.8,126.604,128.825,0.9828,5-6,>=100,0.5-1,True,False,
AB01,north,tracking,2025.2183436002738,5317,2,6.2,173.972,204.174,0.8521,6-7,>=100,0.5-1,True,False,
AB01,north,tracking,2025.574264202601,5435,2,8.8,1726.917,4073.803,0.4239,>=7,>=100,0.25-0.5,True,False,
AB01,north,tracking,2026.5653661875428,5681,2,5.8,104.766,128.825,0.8132,5-6,>=100,0.5-1,True,False,
AB01,up,detection,2017.2840520191648,3216,1,,,,,none,none,none,True,False,
AB01,up,detection,2007.5290896646134,56,2,6.0,147.873,162.181,0.9118,6-7,>=100,0.5-1,False,False,
AB01,up,detection,2007.9644079397672,204,2,7.2,376.796,645.654,0.5836,>=7,>=100,0.5-1,True,False,
